Year,Tm,MP_SUM,OBPM_SUM,DBMP_SUM,OWS_SUM,DWS_SUM,WS_SUM,WS/48_SUM,3P_SUM,3PA_SUM,2P_SUM,2PA_SUM,FG_SUM,FGA_SUM,FT_SUM,FTA_SUM,ORB_SUM,DRB_SUM,TRB_SUM,STL_SUM,BLK_SUM,TOV_SUM,PTS_SUM,dbpm_tot,obpm_tot,POSS_TOT,pts_per_min,2ft_pct,3fg_pct,ts_pct,dbpm_norm,obpm_norm,off_rat,TEAM,games_tot,wins_tot,losses_tot
2005.0,CHA,19880.0,-41.7,-13.9,9.200000000000001,16.5,25.7,0.765,320.0,881.0,2641.0,5978.0,2961.0,6859.0,1487.0,2096.0,1083.0,2335.0,3418.0,695.0,440.0,1137.0,7729.0,-8054.3,-24010.2,7826.856,0.38878269617706235,0.4417865506858481,0.36322360953461974,0.49664320853745675,-0.4051458752515091,-1.2077565392354126,98.74974063659789,Charlotte,82,18,64
2005.0,CHI,19830.0,-38.0,13.600000000000001,10.0,34.0,44.1,1.273,511.0,1433.0,2338.0,5159.0,2849.0,6592.0,1536.0,2048.0,1001.0,2591.0,3592.0,576.0,369.0,1319.0,7745.0,27263.9,-24155.1,7802.928,0.39056984367120523,0.4531886024423338,0.35659455687369157,0.516807418004783,1.3748814926878468,-1.218108925869894,99.25761201436178,Chicago,82,47,35
2005.0,CLE,19855.0,-29.6,-9.1,24.299999999999997,21.099999999999998,45.5,1.1420000000000001,300.0,904.0,2690.0,5783.0,2990.0,6687.0,1634.0,2174.0,1117.0,2352.0,3469.0,654.0,461.0,1071.0,7914.0,-1385.9999999999998,3094.7000000000025,7588.864,0.3985897758750944,0.46515649316963514,0.33185840707964603,0.5176907095646531,-0.06980609418282548,0.15586502140518774,104.28438301173931,Cleveland,82,42,40
2005.0,DAL,19730.0,-31.7,-2.7,32.2,25.3,57.6,1.134,463.0,1273.0,2595.0,5418.0,3058.0,6691.0,1826.0,2314.0,990.0,2530.0,3520.0,708.0,461.0,1052.0,8405.0,10203.9,20926.899999999998,7761.904,0.426001013684744,0.4789590254706534,0.36370777690494893,0.5451307276019696,0.5171768879878358,1.0606639635073492,108.28528670285023,Dallas,82,58,24
2005.0,DEN,19755.0,-2.400000000000001,-2.999999999999999,21.7,25.5,47.3,1.854,320.0,940.0,2718.0,5675.0,3038.0,6615.0,1765.0,2313.0,967.0,2473.0,3440.0,750.0,489.0,1183.0,8161.0,12026.6,-1914.8999999999992,7839.468,0.41311060491014934,0.47894273127753306,0.3404255319148936,0.534606274041233,0.6087876486965326,-0.09693242217160208,104.10145178218727,Denver,82,49,33
2005.0,DET,19955.0,-54.6,-3.6999999999999997,22.3,32.3,54.2,1.272,363.0,1053.0,2488.0,5368.0,2851.0,6421.0,1588.0,2150.0,1054.0,2507.0,3561.0,576.0,497.0,1071.0,7653.0,21677.100000000002,-2983.499999999999,7375.4,0.3835129040340767,0.46348733233979134,0.34472934472934474,0.5194108863852315,1.0862991731395641,-0.14951140065146576,103.76386365485263,Detroit,82,54,28
2005.0,GSW,19905.0,-32.6,-9.2,18.0,18.3,36.1,1.095,624.0,1774.0,2405.0,5265.0,3029.0,7039.0,1412.0,1955.0,1069.0,2436.0,3505.0,642.0,420.0,1077.0,8094.0,-1394.4999999999998,-8164.7,7899.38,0.40663149962321027,0.4567901234567901,0.35174746335963925,0.5123303625683614,-0.07005777442853553,-0.41018337101230845,102.46373766042399,Golden State,82,34,48
2005.0,HOU,19855.0,-79.9,-7.699999999999999,22.6,30.5,53.5,1.151,553.0,1521.0,2293.0,4898.0,2846.0,6419.0,1551.0,1986.0,874.0,2601.0,3475.0,563.0,378.0,1072.0,7796.0,22477.5,-162.59999999999945,7482.896,0.3926466884915638,0.46815026541445487,0.3635765943458251,0.5344968489641895,1.1320825988416017,-0.008189372953915863,104.18426234976405,Houston,82,51,31
2005.0,IND,19905.0,-39.400000000000006,0.19999999999999996,20.7,24.1,45.0,1.3639999999999999,542.0,1575.0,2126.0,4594.0,2668.0,6169.0,1748.0,2206.0,868.0,2418.0,3286.0,615.0,357.0,1098.0,7626.0,4796.3,-2028.9999999999998,7360.816,0.38311981914091936,0.4627775359164127,0.3441269841269841,0.5340605408676068,0.24095955790002513,-0.10193418739010297,103.6026440546809,Indiana,82,44,38
2005.0,LAC,20030.0,-42.3,-14.1,21.1,19.3,40.5,0.72,231.0,669.0,2693.0,5699.0,2924.0,6368.0,1770.0,2274.0,980.0,2455.0,3435.0,599.0,422.0,1211.0,7849.0,-1623.9999999999995,-637.0999999999985,7590.464,0.3918622066899651,0.47253904193718194,0.3452914798206278,0.5326006709587762,-0.08107838242636044,-0.031807289066400325,103.40606318665104,L.A. Clippers,82,37,45
