Year,Tm,off_rat,POSS_TOT,wins_tot,losses_tot
2014.0,DET,103.68651484671764,7991.396,29,53
2013.0,SAC,103.67205171014106,7927.884,28,54
2016.0,WAS,103.64136541365947,8234.164,41,41
2015.0,PHO,103.61023106920032,8104.412,39,43
2014.0,SAC,103.60392299441361,7954.332,28,54
2005.0,IND,103.6026440546809,7360.816,44,38
2013.0,TOR,103.56903224867587,7696.316,34,48
2015.0,MEM,103.54636673240958,7785.884,55,27
2007.0,MIA,103.54605537438592,7493.284,44,38
2013.0,ATL,103.49336493110836,7760.884,44,38
2016.0,ATL,103.48295678773589,8149.168,48,34
2009.0,MIN,103.46760337599345,7750.252,24,58
2005.0,LAC,103.40606318665104,7590.464,37,45
2009.0,SAC,103.40177808935378,7976.652,17,65
2006.0,DEN,103.3928228515356,7957.032,44,38
2010.0,DET,103.39146538256854,7456.128,27,55
2006.0,BOS,103.37225438762653,7770.9439999999995,33,49
2005.0,MEM,103.36689215518014,7411.464,45,37
2007.0,CLE,103.3612871724135,7675.988,50,32
2016.0,DEN,103.34381243302134,8084.664,33,49
2007.0,LAC,103.3221707272732,7590.82,40,42
2013.0,POR,103.31486286712637,7738.48,33,49
2016.0,MEM,103.2992714388574,7866.464,42,40
2004.0,LAL,103.27748243051472,7796.472,56,26
2010.0,SAC,103.25526060368566,7941.484,25,57
2015.0,SAC,103.25033547040405,8048.4,29,53
2015.0,DET,103.21559318360491,7825.368,32,50
2007.0,CHI,103.18224225967582,7850.188,49,33
2016.0,ORL,103.18132345304454,8110.964,35,47
2008.0,CHA,103.10734097321722,7719.14,32,50
2016.0,IND,103.03569706594875,8130.192,45,37
2008.0,MEM,103.02843969248936,8014.292,22,60
2017.0,ATL,102.99520126862228,8213.004,43,39
2008.0,MIL,102.98655841600564,7725.28,26,56
2007.0,ORL,102.96331903603756,7547.348,40,42
2016.0,NYK,102.8921037550451,7838.308,32,50
2016.0,MIL,102.88477665060269,7894.268,33,49
2009.0,WAS,102.8822171672896,7656.3279999999995,19,63
2007.0,NOK,102.87255150719517,7614.276,39,43
2011.0,LAC,102.8411047084927,7865.532,32,50
2016.0,CHI,102.82608266550866,8105.92,42,40
2005.0,ORL,102.74412432039044,7942.0599999999995,36,46
2011.0,IND,102.66917264932385,7970.26,37,45
2007.0,POR,102.6658804972876,7516.616,32,50
2013.0,MEM,102.66403726628147,7460.256,56,26
2004.0,MEM,102.66238652116658,7724.348,50,32
2010.0,MIL,102.63606422923634,7803.3,46,36
2015.0,WAS,102.62287819578819,7873.488,46,36
2015.0,MIA,102.59202097295926,7567.84,37,45
2017.0,BRK,102.5817531509027,8454.72,20,62
2010.0,CHA,102.55326521825877,7618.48,44,38
2006.0,GSW,102.52842510448352,7876.84,34,48
2009.0,CHA,102.48653671065877,7490.74,35,47
2005.0,GSW,102.46373766042399,7899.38,34,48
2015.0,BRK,102.41823233113479,7848.2119999999995,38,44
2013.0,IND,102.38907849829351,7494.94,49,32
2006.0,IND,102.36823098549002,7520.888,41,41
2006.0,NJN,102.36197836117555,7513.532,49,33
2015.0,BOS,102.35686786014053,8120.608,40,42
2014.0,LAL,102.35134080013968,8248.06,27,55
2014.0,IND,102.28933142774915,7755.452,56,26
2010.0,WAS,102.25155541044437,7718.22,26,56
2008.0,NYK,102.24585832233431,7773.42,23,59
2010.0,IND,102.1853795884488,8086.284,32,50
2009.0,MEM,102.18260341840497,7533.572,24,58
2014.0,CLE,102.17705377907936,7882.396,33,49
2008.0,NJN,102.16724063408445,7690.332,34,48
2015.0,DEN,102.12252837705209,8147.076,30,52
2014.0,CHA,102.08226221079691,7780.0,43,39
2005.0,UTA,102.08054201621722,7469.592,26,56
2004.0,IND,102.04131658764467,7343.104,61,21
2006.0,UTA,102.0320725350625,7422.1759999999995,41,41
2004.0,DEN,101.91344669435836,7822.324,43,39
2013.0,BOS,101.91195057752714,7671.3279999999995,41,40
2006.0,NYK,101.88475096311102,7696.932,23,59
